Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureKernelEvaluations,measureCacheHits
'Suite_en_la_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0170608103800002E7,359.0,186.0,0.10156781127666814,0.13852502917941326,142.500854227773,145.13977172050954,0.2060927686274834,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,5.519,0.002,5.265625,0.0,5265.625,0.0,138321.0,109030.0,58341.0,NaN,NaN,?,?,?,?
'Suite_en_la_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0170608103800002E7,359.0,186.0,0.07061320633041607,0.09394150411689192,99.07117319321216,98.4273278509679,0.22868813115524483,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.013,0.0,0.015625,0.0,15.625,0.0,14581.0,109030.0,58341.0,NaN,NaN,?,?,?,?
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.0170608103800002E7,359.0,186.0,0.4859530405053672,0.665531785826427,73.10398267369278,73.73044805848518,0.6748204546993485,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.04,0.0,0.046875,0.0,46.875,0.0,32967.0,109028.0,58339.0,NaN,NaN,?,9.0,?,?
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.7529104086021505,1.0753759388741262,113.26351494386145,119.13473029097676,0.31634447005402616,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.009,0.0,0.015625,0.0,15.625,111616.0,109028.0,58339.0,NaN,NaN,?,?,?,?
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.6466330241935484,0.8809902930429293,97.27575600251981,97.59985987832599,0.43177314313359344,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.012,0.0,0.015625,0.0,15.625,111624.0,109028.0,58339.0,NaN,NaN,?,?,?,?
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.6154979032258063,0.8275360147592387,92.59196733561053,91.6779670815673,0.43556893603187374,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.013,0.0,0.015625,0.0,15.625,111640.0,109028.0,58339.0,NaN,NaN,?,?,?,?
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 8 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.6096334220430105,0.8238240810876766,91.70974848925563,91.26674324734006,0.41977287052058226,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.013,0.0,0.0,0.0,0.0,111672.0,109028.0,58339.0,NaN,NaN,?,?,?,?
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.functions.SMOreg,'-C 1.0 -N 0 -I \"weka.classifiers.functions.supportVector.RegSMOImproved -T 0.001 -V -P 1.0E-12 -L 0.001 -W 1\" -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"',-7149606251113102827,2.0170608103800002E7,359.0,186.0,0.5941016328338466,0.86338197657171,89.37323538079279,95.64913552431715,0.34919940289804147,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.146,0.0,0.140625,0.0,140.625,0.0,231701.0,109028.0,58339.0,NaN,NaN,?,?,64620.0,5895356.0
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0170608103800002E7,359.0,186.0,0.9279055186992958,1.2392458720077948,139.5887736215698,137.28893997798107,0.3855968482678669,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,5.941,0.003,5.453125,0.0,5453.125,0.0,138318.0,109028.0,58339.0,NaN,NaN,?,?,?,?
'Suite_en_la_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0170608103800002E7,359.0,186.0,0.6248423484532245,0.8356779998748587,93.99769197371558,92.57997089783092,0.3907728068491813,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.017,0.0,0.03125,0.0,31.25,0.0,14618.0,109028.0,58339.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.0170608103800002E7,359.0,186.0,0.06577607136806414,0.08675506189196022,97.12458120492374,96.20702972482012,0.3058408915088455,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.062,0.0,0.03125,0.0,31.25,0.0,25947.0,109033.0,58344.0,NaN,NaN,?,4.0,?,?
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.07782258064516129,0.11036656907729114,114.9123898135017,122.39101166302501,0.21086123640369456,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.009,0.0,0.015625,0.0,15.625,111621.0,109033.0,58344.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.0685483870967742,0.09846563111437757,101.21816719323985,109.19346598232312,0.17164839470045185,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.012,0.0,0.0,0.0,0.0,111629.0,109033.0,58344.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.06750672043010755,0.09547252673002349,99.68004798589163,105.87426274282052,0.14722105185111767,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.015,0.0,0.015625,0.0,15.625,111645.0,109033.0,58344.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 8 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,0.0694220430107527,0.09603455236869653,102.50820265746742,106.49752109970193,0.05532305302846097,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.014,0.0,0.015625,0.0,15.625,111677.0,109033.0,58344.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.SMOreg,'-C 1.0 -N 0 -I \"weka.classifiers.functions.supportVector.RegSMOImproved -T 0.001 -V -P 1.0E-12 -L 0.001 -W 1\" -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"',-7149606251113102827,2.0170608103800002E7,359.0,186.0,0.07226509894046909,0.09801475209320408,106.70624323320708,108.69346367183711,0.1137438172230854,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.158,0.0,0.140625,0.0,140.625,0.0,231718.0,109033.0,58344.0,NaN,NaN,?,?,64620.0,5535339.0
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0170608103800002E7,359.0,186.0,0.12306049771455362,0.17042430545014245,181.71044659256702,188.9920410718205,0.22567510579731012,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,5.873,0.002,5.625,0.0,5625.0,0.0,138327.0,109033.0,58344.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0170608103800002E7,359.0,186.0,0.07065990750839812,0.0937421340099706,104.33602649099345,103.95534365933165,0.11953539511243792,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015625,0.0,15.625,0.0,14564.0,109033.0,58344.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.0170608103800002E7,359.0,186.0,0.6636151707215322,0.9519098725372208,54.197221078595916,60.85172566746107,0.7925839277517308,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.045,0.0,0.046875,0.0,46.875,0.0,57409.0,109031.0,58342.0,NaN,NaN,?,26.0,?,?
'Suite_en_la_v2_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,1.3289498924731182,1.8572636523599872,108.53487729406557,118.72730972347131,0.36505331664143637,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.009,0.0,0.0,0.0,0.0,111619.0,109031.0,58342.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,1.1095151586021508,1.5196183257746299,90.61371860355975,97.14301757666507,0.5053453533664782,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.011,0.0,0.015625,0.0,15.625,111627.0,109031.0,58342.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,1.1111925645161305,1.4263063827123346,90.75071176340516,91.17796466089914,0.4835128732196739,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.013,0.0,0.0,0.0,0.0,111643.0,109031.0,58342.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 8 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.0170608103800002E7,359.0,186.0,1.0285642459677422,1.2942097692891144,84.00248561473141,82.73356554966274,0.5612540892662929,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.014,0.0,0.015625,0.0,15.625,111675.0,109031.0,58342.0,NaN,NaN,?,?,?,?
'Suite_en_la_v2_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.functions.SMOreg,'-C 1.0 -N 0 -I \"weka.classifiers.functions.supportVector.RegSMOImproved -T 0.001 -V -P 1.0E-12 -L 0.001 -W 1\" -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"',-7149606251113102827,2.0170608103800002E7,359.0,186.0,1.0734683770031668,1.399510887480729,87.66979043903655,89.46503765803975,0.4526655760994548,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.135,0.0,0.125,0.0,125.0,0.0,231713.0,109031.0,58342.0,NaN,NaN,?,?,64620.0,5087310.0
'Suite_en_la_v2_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.0170608103800002E7,359.0,186.0,1.386184213939972,1.9605324008567928,113.20918449902268,125.32886070518353,0.44185678573326037,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,5.739,0.004,5.546875,0.0,5546.875,0.0,138324.0,109031.0,58342.0,NaN,NaN,?,?,?,?
