@relation 'All_onset_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45-weka.filters.unsupervised.attribute.Remove-R1-5,7,9,11-12,14-16,18-32'

@attribute onset_s numeric
@attribute measure numeric
@attribute pre_dur_s numeric
@attribute pre_ionset_s numeric
@attribute n_simult numeric
@attribute onset_dev numeric

@data
43.714293,13,0.426786,-0.428572,0,0.042333
43.714293,13,0.426786,0,0,0.045583
44.142865,13,0.426786,-0.428572,0,-0.002667
44.142865,13,0.426786,0,0,0.000583
44.571436,14,0.426786,-0.428572,3,-0.072583
44.571436,14,0.855357,0,3,0.011917
44.571436,14,0.855357,0,3,0.06825
44.571436,14,0.855357,0,3,0.13325
45.428579,14,0.855357,-0.857143,0,-0.86675
46.285722,14,0.855357,-0.857143,3,-1.545
46.285722,14,0.855357,0,3,-0.938333
46.285722,14,0.855357,0,3,0.029083
46.285722,14,0.855357,0,3,0.039917
47.142865,14,0.855357,-0.857143,0,-0.960083
48.000008,15,0.855357,-0.857143,3,-1.960083
48.000008,15,1.7125,0,3,-1.04575
48.000008,15,1.7125,0,3,-1.0425
48.000008,15,1.7125,0,3,-0.056667
49.714294,15,1.7125,-1.714286,3,-2.052333
49.714294,15,1.7125,0,3,-2.048
49.714294,15,1.7125,0,3,-0.164083
49.714294,15,1.7125,0,3,0.000583
51.42858,16,1.7125,-1.714286,3,-1.400333
51.42858,16,1.7125,0,3,-0.087333
51.42858,16,1.7125,0,3,-0.071083
51.42858,16,1.7125,0,3,-0.071083
53.142866,16,1.7125,-1.714286,3,-0.099417
53.142866,16,1.7125,0,3,-0.083167
53.142866,16,1.7125,0,3,-0.07125
53.142866,16,1.7125,0,3,-0.066917
54.857152,17,1.7125,-1.714286,3,-2.066917
55.285724,17,1.7125,-0.428571,3,-2.530083
55.285724,17,1.283929,0,3,0.016833
55.285724,17,1.283929,0,3,0.020083
56.571438,17,1.283929,-1.285715,1,0.737667
56.571438,17,0.855357,0,1,1.579417
57.428581,17,0.855357,-0.857143,1,1.754833
57.428581,17,0.855357,0,1,2.519667
