@relation 'All_energy_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45-weka.filters.unsupervised.attribute.Remove-R1-5,8,10-21,23-31'

@attribute onset_s numeric
@attribute dur_s numeric
@attribute pre_dur_b numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7,Am}
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
37.714292,1.7125,1.997917,B7,m,1.010534
38.571435,0.855357,1.997917,B7,f,0.985534
39.428578,1.7125,0.997917,B5,i,0.898034
39.428578,1.7125,1.997917,B5,m,0.960534
39.428578,1.7125,1.997917,B5,m,0.885534
39.428578,1.7125,1.997917,B5,f,0.885534
39.85715,1.283929,1.997917,B5,i,0.985534
41.142864,1.7125,1.497917,A7,f,0.985534
42.000007,0.855357,1.997917,A7,i,1.085534
42.000007,0.855357,0.997917,A7,f,1.085534
42.85715,0.426786,0.997917,F7,i,1.085534
42.85715,0.426786,0.497917,F7,m,1.085534
43.285722,0.426786,0.497917,F7,m,1.085534
43.285722,0.426786,0.497917,F7,m,1.123034
43.714293,0.426786,0.497917,F7,m,1.135534
43.714293,0.426786,0.497917,F7,m,1.310534
44.142865,0.426786,0.497917,B7,m,0.998034
44.142865,0.426786,0.497917,B7,m,1.110534
44.571436,0.855357,0.497917,B7,m,1.160534
44.571436,0.855357,0.997917,B7,m,0.910534
44.571436,0.855357,0.997917,B7,m,0.973034
44.571436,0.855357,0.997917,B7,m,0.960534
45.428579,0.855357,0.997917,B7,f,0.960534
46.285722,0.855357,0.997917,Eb7,i,1.098034
46.285722,0.855357,0.997917,Eb7,m,0.935534
46.285722,0.855357,0.997917,Eb7,m,0.960534
46.285722,0.855357,0.997917,Eb7,m,0.973034
47.142865,0.855357,0.997917,Eb7,f,0.973034
48.000008,1.7125,0.997917,A7,i,1.035534
48.000008,1.7125,1.997917,A7,m,0.985534
48.000008,1.7125,1.997917,A7,m,0.985534
48.000008,1.7125,1.997917,A7,f,0.923034
49.714294,1.7125,1.997917,D7,i,1.023034
49.714294,1.7125,1.997917,D7,m,0.923034
49.714294,1.7125,1.997917,D7,m,0.885534
49.714294,1.7125,1.997917,D7,f,0.923034
51.42858,1.7125,1.997917,G6,i,0.898034
51.42858,1.7125,1.997917,G6,m,0.973034
51.42858,1.7125,1.997917,G6,m,0.923034
51.42858,1.7125,1.997917,G6,f,0.923034
53.142866,1.7125,1.997917,Bb7,i,0.923034
53.142866,1.7125,1.997917,Bb7,m,1.260534
53.142866,1.7125,1.997917,Bb7,m,1.060534
53.142866,1.7125,1.997917,Bb7,f,0.873034
54.857152,1.7125,1.997917,Eb6,i,0.923034
55.285724,1.283929,1.997917,Eb6,m,1.110534
55.285724,1.283929,1.497917,Eb6,m,1.223034
55.285724,1.283929,1.497917,Eb6,f,1.110534
56.571438,0.855357,1.497917,C7,i,1.010534
56.571438,0.855357,0.997917,C7,f,0.960534
57.428581,0.855357,0.997917,F7,i,0.910534
57.428581,0.855357,0.997917,F7,f,0.898034
58.285724,0.855357,0.997917,F7,i,0.923034
58.285724,1.7125,0.997917,F7,m,1.073034
58.285724,1.7125,1.997917,F7,m,0.910534
58.285724,1.7125,1.997917,F7,m,0.910534
58.285724,1.7125,1.997917,F7,m,1.060534
59.142867,0.855357,1.997917,Bb7,m,1.060534
60.00001,1.283929,0.997917,Bb7,m,1.023034
60.00001,1.283929,1.497917,Bb7,m,0.898034
60.00001,1.283929,1.497917,Bb7,m,0.998034
60.00001,1.283929,1.497917,Bb7,f,0.923034
61.285725,0.426786,1.497917,G7,i,0.998034
61.714296,0.569643,0.497917,G7,m,0.998034
61.714296,1.7125,0.664583,G7,m,0.960534
61.714296,1.7125,1.997917,G7,m,0.960534
61.714296,1.7125,1.997917,G7,m,0.960534
61.714296,1.7125,1.997917,G7,m,1.348034
62.285725,0.569643,1.997917,C7,m,1.348034
62.857153,0.569643,0.664583,C7,f,1.348034
63.428582,0.855357,0.664583,B9,i,0.973034
63.428582,0.855357,0.997917,B9,m,0.948034
63.428582,0.855357,0.997917,B9,m,0.948034
63.428582,0.855357,0.997917,B9,f,0.948034
64.285725,0.855357,0.997917,F7,i,0.948034
64.285725,0.855357,0.997917,F7,m,0.985534
64.285725,0.855357,0.997917,F7,m,0.985534
64.285725,0.855357,0.997917,F7,f,1.010534
65.142868,0.855357,0.997917,F7,i,0.910534
65.142868,0.855357,0.997917,F7,m,0.910534
65.142868,0.855357,0.997917,F7,m,0.948034
65.142868,0.855357,0.997917,F7,m,0.973034
66.000011,0.855357,0.997917,Bb7,f,0.923034
66.857154,1.7125,0.997917,Bb7,i,0.960534
66.857154,1.7125,1.997917,Bb7,m,0.898034
66.857154,1.7125,1.997917,Bb7,m,1.035534
66.857154,1.7125,1.997917,Bb7,f,1.010534
69.000012,1.283929,1.997917,C7,i,1.123034
69.000012,1.283929,1.497917,C7,m,0.985534
69.000012,1.283929,1.497917,C7,m,0.985534
69.000012,1.283929,1.497917,C7,f,1.023034
70.285726,0.855357,1.497917,C7,i,0.948034
70.285726,0.855357,0.997917,C7,f,0.948034
71.142869,0.855357,0.997917,G6,i,0.985534
71.142869,0.855357,0.997917,G6,f,0.985534
72.000012,0.855357,0.997917,G6,i,0.898034
72.000012,0.855357,0.997917,G6,m,1.023034
72.000012,0.855357,0.997917,G6,m,0.935534
72.000012,0.855357,0.997917,G6,f,1.073034
72.857155,0.855357,0.997917,G6,i,0.898034
72.857155,0.855357,0.997917,G6,m,1.073034
72.857155,0.855357,0.997917,G6,m,1.085534
72.857155,0.855357,0.997917,G6,f,1.085534
73.714298,0.855357,0.997917,G6,i,1.035534
73.714298,0.855357,0.997917,G6,m,1.298034
73.714298,0.855357,0.997917,G6,m,1.298034
73.714298,0.855357,0.997917,G6,f,1.173034
74.571441,0.855357,0.997917,A7,i,1.198034
74.571441,0.855357,0.997917,A7,m,1.160534
74.571441,0.855357,0.997917,A7,m,1.135534
74.571441,0.855357,0.997917,A7,f,1.098034
75.428584,1.7125,0.997917,A7,i,1.035534
75.428584,1.7125,1.997917,A7,m,0.973034
75.428584,1.7125,1.997917,A7,m,0.973034
75.428584,1.7125,1.997917,A7,f,0.985534
77.14287,0.855357,1.997917,D7,i,0.898034
