@relation 'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7}
@attribute chord_id numeric
@attribute chord_type {5,6,7,9,mayor}
@attribute note2chord numeric
@attribute isChordN {n,y}
@attribute mtr {s,ss,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
10,0.997917,4,54,80,8.57143,0.855357,3,0.497917,0.426786,0.997917,0.855357,0,0,2,6,2,14,6,1,1,E,4,mayor,2,n,ww,IR,P,P,70,m,1.010534
10,0.997917,3,60,80,8.57143,0.855357,3,0.997917,0.855357,0.997917,0.855357,0,0,2,0,2,-6,4,1,7,E,4,mayor,4,n,ww,P,P,P,70,m,0.960534
10,0.997917,6,64,80,8.57143,0.855357,3,0.997917,0.855357,0.497917,0.426786,0,0.428572,2,4,2,-4,5,1,3,E,4,mayor,0,n,ww,P,P,P,70,m,1.285534
10.5,0.497917,5,69,80,9.000002,0.426786,3,0.997917,0.855357,0.497917,0.426786,-0.428572,0.428572,2.5,9,0,-5,2,1,2,E,4,mayor,5,n,ww,P,P,SB,70,m,1.060534
11,0.497917,4,71,80,9.428573,0.426786,3,0.497917,0.426786,0.497917,0.426786,-0.428572,0.428572,3,11,0,-2,1,1,4,A7,9,7,2,n,ww,P,SB,VR,70,m,1.348034
11.5,0.497917,3,72,80,9.857145,0.426786,3,0.497917,0.426786,0.997917,0.855357,-0.428572,0.428572,3.5,0,0,-1,2,1,7,A7,9,7,9,n,ww,SB,VR,IR,70,m,1.348034
12,0.997917,2,74,80,10.285716,0.855357,4,0.497917,0.426786,1.997917,1.7125,-0.428572,0,0,2,3,-2,-15,1,5,C6,0,6,2,n,ww,VR,IR,VP,70,m,0.873034
12,1.997917,5,59,80,10.285716,1.7125,4,0.997917,0.855357,1.997917,1.7125,0,0,0,11,4,15,6,1,4,C6,0,6,11,n,ww,IR,VP,VR,70,m,0.910534
12,1.997917,6,65,80,10.285716,1.7125,4,1.997917,1.7125,1.997917,1.7125,0,0,0,5,4,-6,4,1,2,C6,0,6,5,n,ww,VP,VR,VR,70,m,0.973034
12,1.997917,7,69,80,10.285716,1.7125,4,1.997917,1.7125,0.997917,0.855357,0,0.857143,0,9,4,-4,7,1,2,C6,0,6,9,y,ww,VR,VR,IR,70,m,1.023034
